episode	lm	weight	score	was_correct
0	learning_module_0	1.1	0.55	True
0	learning_module_1	1.1	0.55	True
0	learning_module_2	1.1	0.55	True
0	learning_module_3	1.1	0.55	True
0	learning_module_4	1.1	0.55	True
1	learning_module_0	1.1900000000000002	0.5950000000000001	True
1	learning_module_1	1.1900000000000002	0.5950000000000001	True
1	learning_module_2	1.1900000000000002	0.5950000000000001	True
1	learning_module_3	1.1900000000000002	0.5950000000000001	True
1	learning_module_4	1.1900000000000002	0.5950000000000001	True
2	learning_module_0	1.2710000000000001	0.6355000000000001	True
2	learning_module_1	1.2710000000000001	0.6355000000000001	True
2	learning_module_2	1.2710000000000001	0.6355000000000001	True
2	learning_module_3	1.0710000000000002	0.5355000000000001	False
2	learning_module_4	1.2710000000000001	0.6355000000000001	True
3	learning_module_0	1.3439	0.67195	True
3	learning_module_1	1.3439	0.67195	True
3	learning_module_2	1.3439	0.67195	True
3	learning_module_3	1.1639000000000002	0.5819500000000001	True
3	learning_module_4	1.1439000000000001	0.5719500000000001	False
4	learning_module_0	1.40951	0.704755	True
4	learning_module_1	1.40951	0.704755	True
4	learning_module_2	1.40951	0.704755	True
4	learning_module_3	1.2475100000000001	0.6237550000000001	True
4	learning_module_4	1.22951	0.614755	True
5	learning_module_0	1.468559	0.7342795	True
5	learning_module_1	1.468559	0.7342795	True
5	learning_module_2	1.468559	0.7342795	True
5	learning_module_3	1.322759	0.6613795	True
5	learning_module_4	1.306559	0.6532795	True
6	learning_module_0	1.5217030999999999	0.7608515499999999	True
6	learning_module_1	1.5217030999999999	0.7608515499999999	True
6	learning_module_2	1.5217030999999999	0.7608515499999999	True
6	learning_module_3	1.3904831	0.69524155	True
6	learning_module_4	1.3759031	0.68795155	True
7	learning_module_0	1.5695327899999998	0.7847663949999999	True
7	learning_module_1	1.5695327899999998	0.7847663949999999	True
7	learning_module_2	1.5695327899999998	0.7847663949999999	True
7	learning_module_3	1.45143479	0.725717395	True
7	learning_module_4	1.43831279	0.719156395	True
8	learning_module_0	1.6125795109999999	0.8062897554999999	True
8	learning_module_1	1.6125795109999999	0.8062897554999999	True
8	learning_module_2	1.6125795109999999	0.8062897554999999	True
8	learning_module_3	1.306291311	0.6531456555	False
8	learning_module_4	1.4944815109999998	0.7472407554999999	True
9	learning_module_0	1.6513215599	0.82566077995	True
9	learning_module_1	1.6513215599	0.82566077995	True
9	learning_module_2	1.6513215599	0.82566077995	True
9	learning_module_3	1.1756621799	0.58783108995	False
9	learning_module_4	1.3450333599	0.67251667995	False
10	learning_module_0	1.68618940391	0.843094701955	True
10	learning_module_1	1.68618940391	0.843094701955	True
10	learning_module_2	1.68618940391	0.843094701955	True
10	learning_module_3	1.25809596191	0.629047980955	True
10	learning_module_4	1.41053002391	0.705265011955	True
11	learning_module_0	1.7175704635190001	0.8587852317595001	True
11	learning_module_1	1.7175704635190001	0.8587852317595001	True
11	learning_module_2	1.7175704635190001	0.8587852317595001	True
11	learning_module_3	1.332286365719	0.6661431828595	True
11	learning_module_4	1.469477021519	0.7347385107595	True
12	learning_module_0	1.7458134171671	0.87290670858355	True
12	learning_module_1	1.7458134171671	0.87290670858355	True
12	learning_module_2	1.7458134171671	0.87290670858355	True
12	learning_module_3	1.3990577291471	0.69952886457355	True
12	learning_module_4	1.5225293193671001	0.7612646596835501	True
13	learning_module_0	1.77123207545039	0.885616037725195	True
13	learning_module_1	1.77123207545039	0.885616037725195	True
13	learning_module_2	1.77123207545039	0.885616037725195	True
13	learning_module_3	1.45915195623239	0.729575978116195	True
13	learning_module_4	1.37027638743039	0.685138193715195	False
14	learning_module_0	1.794108867905351	0.8970544339526755	True
14	learning_module_1	1.794108867905351	0.8970544339526755	True
14	learning_module_2	1.794108867905351	0.8970544339526755	True
14	learning_module_3	1.513236760609151	0.7566183803045755	True
14	learning_module_4	1.433248748687351	0.7166243743436755	True
15	learning_module_0	1.8146979811148158	0.9073489905574079	True
15	learning_module_1	1.8146979811148158	0.9073489905574079	True
15	learning_module_2	1.8146979811148158	0.9073489905574079	True
15	learning_module_3	1.5619130845482359	0.7809565422741179	True
15	learning_module_4	1.289923873818616	0.644961936909308	False
16	learning_module_0	1.8332281830033343	0.9166140915016672	True
16	learning_module_1	1.8332281830033343	0.9166140915016672	True
16	learning_module_2	1.8332281830033343	0.9166140915016672	True
16	learning_module_3	1.6057217760934122	0.8028608880467061	True
16	learning_module_4	1.3609314864367545	0.6804657432183773	True
17	learning_module_0	1.8499053647030008	0.9249526823515004	True
17	learning_module_1	1.8499053647030008	0.9249526823515004	True
17	learning_module_2	1.8499053647030008	0.9249526823515004	True
17	learning_module_3	1.645149598484071	0.8225747992420355	True
17	learning_module_4	1.4248383377930791	0.7124191688965396	True
18	learning_module_0	1.8649148282327008	0.9324574141163504	True
18	learning_module_1	1.8649148282327008	0.9324574141163504	True
18	learning_module_2	1.8649148282327008	0.9324574141163504	True
18	learning_module_3	1.6806346386356639	0.8403173193178319	True
18	learning_module_4	1.4823545040137711	0.7411772520068856	True
19	learning_module_0	1.8784233454094308	0.9392116727047154	True
19	learning_module_1	1.8784233454094308	0.9392116727047154	True
19	learning_module_2	1.8784233454094308	0.9392116727047154	True
19	learning_module_3	1.5125711747720976	0.7562855873860488	False
19	learning_module_4	1.3341190536123941	0.6670595268061971	False
20	learning_module_0	1.8905810108684877	0.9452905054342439	True
20	learning_module_1	1.8905810108684877	0.9452905054342439	True
20	learning_module_2	1.8905810108684877	0.9452905054342439	True
20	learning_module_3	1.5613140572948878	0.7806570286474439	True
20	learning_module_4	1.4007071482511546	0.7003535741255773	True
21	learning_module_0	1.9015229097816388	0.9507614548908194	True
21	learning_module_1	1.9015229097816388	0.9507614548908194	True
21	learning_module_2	1.9015229097816388	0.9507614548908194	True
21	learning_module_3	1.4051826515653991	0.7025913257826996	False
21	learning_module_4	1.460636433426039	0.7303182167130196	True
22	learning_module_0	1.911370618803475	0.9556853094017375	True
22	learning_module_1	1.911370618803475	0.9556853094017375	True
22	learning_module_2	1.911370618803475	0.9556853094017375	True
22	learning_module_3	1.2646643864088591	0.6323321932044296	False
22	learning_module_4	1.5145727900834351	0.7572863950417176	True
23	learning_module_0	1.9202335569231275	0.9601167784615637	True
23	learning_module_1	1.9202335569231275	0.9601167784615637	True
23	learning_module_2	1.9202335569231275	0.9601167784615637	True
23	learning_module_3	1.1381979477679733	0.5690989738839867	False
23	learning_module_4	1.5631155110750916	0.7815577555375458	True
24	learning_module_0	1.9282102012308147	0.9641051006154073	True
24	learning_module_1	1.9282102012308147	0.9641051006154073	True
24	learning_module_2	1.9282102012308147	0.9641051006154073	True
24	learning_module_3	1.224378152991176	0.612189076495588	True
24	learning_module_4	1.6068039599675825	0.8034019799837913	True
25	learning_module_0	1.9353891811077333	0.9676945905538666	True
25	learning_module_1	1.9353891811077333	0.9676945905538666	True
25	learning_module_2	1.9353891811077333	0.9676945905538666	True
25	learning_module_3	1.1019403376920585	0.5509701688460292	False
25	learning_module_4	1.6461235639708243	0.8230617819854121	True
26	learning_module_0	1.9418502629969598	0.9709251314984799	True
26	learning_module_1	1.9418502629969598	0.9709251314984799	True
26	learning_module_2	1.9418502629969598	0.9709251314984799	True
26	learning_module_3	1.1917463039228526	0.5958731519614263	True
26	learning_module_4	1.6815112075737417	0.8407556037868709	True
27	learning_module_0	1.9476652366972638	0.9738326183486319	True
27	learning_module_1	1.9476652366972638	0.9738326183486319	True
27	learning_module_2	1.9476652366972638	0.9738326183486319	True
27	learning_module_3	1.2725716735305674	0.6362858367652837	True
27	learning_module_4	1.7133600868163676	0.8566800434081838	True
28	learning_module_0	1.9528987130275375	0.9764493565137687	True
28	learning_module_1	1.9528987130275375	0.9764493565137687	True
28	learning_module_2	1.9528987130275375	0.9764493565137687	True
28	learning_module_3	1.1453145061775107	0.5726572530887554	False
28	learning_module_4	1.742024078134731	0.8710120390673655	True
29	learning_module_0	1.9576088417247837	0.9788044208623918	True
29	learning_module_1	1.9576088417247837	0.9788044208623918	True
29	learning_module_2	1.9576088417247837	0.9788044208623918	True
29	learning_module_3	1.0307830555597597	0.5153915277798798	False
29	learning_module_4	1.567821670321258	0.783910835160629	False
30	learning_module_0	1.9618479575523053	0.9809239787761527	True
30	learning_module_1	1.9618479575523053	0.9809239787761527	True
30	learning_module_2	1.9618479575523053	0.9809239787761527	True
30	learning_module_3	1.1277047500037838	0.5638523750018919	True
30	learning_module_4	1.6110395032891323	0.8055197516445661	True
31	learning_module_0	1.9656631617970748	0.9828315808985374	True
31	learning_module_1	1.9656631617970748	0.9828315808985374	True
31	learning_module_2	1.9656631617970748	0.9828315808985374	True
31	learning_module_3	1.2149342750034053	0.6074671375017027	True
31	learning_module_4	1.649935552960219	0.8249677764801095	True
32	learning_module_0	1.9690968456173672	0.9845484228086836	True
32	learning_module_1	1.9690968456173672	0.9845484228086836	True
32	learning_module_2	1.9690968456173672	0.9845484228086836	True
32	learning_module_3	1.2934408475030648	0.6467204237515324	True
32	learning_module_4	1.6849419976641973	0.8424709988320986	True
33	learning_module_0	1.9721871610556305	0.9860935805278153	True
33	learning_module_1	1.9721871610556305	0.9860935805278153	True
33	learning_module_2	1.9721871610556305	0.9860935805278153	True
33	learning_module_3	1.1640967627527583	0.5820483813763792	False
33	learning_module_4	1.7164477978977775	0.8582238989488887	True
34	learning_module_0	1.9749684449500675	0.9874842224750338	True
34	learning_module_1	1.9749684449500675	0.9874842224750338	True
34	learning_module_2	1.9749684449500675	0.9874842224750338	True
